TRAINING	TRAINING	TRAINING	ALL	ALL	ALL	ALL	loc	loc	loc	loc	object	object	object	object	pers	pers	pers	pers	scope	scope	scope	scope	work	work	work	work
EP	TIME	LOSS	F1	A	P	R	P	R	F1	N	P	R	F1	N	P	R	F1	N	P	R	F1	N	P	R	F1	N
1	10.409124851226807	1.1959287144921043	0.0	0.841502227880331	0.0	0.0	0.0	0.0	0.0	10	0.0	0.0	0.0	4	0.0	0.0	0.0	162	0.0	0.0	0.0	157	0.0	0.0	0.0	70
2	9.34938383102417	0.5939428454095667	0.004514672686230248	0.8499893910460429	0.025	0.0024813895781637717	0.0	0.0	0.0	10	0.0	0.0	0.0	4	0.0	0.0	0.0	162	0.025	0.006369426751592357	0.010152284263959392	157	0.0	0.0	0.0	70
3	9.343590497970581	0.389726611700925	0.26904761904761904	0.8924252068746021	0.2585812356979405	0.2803970223325062	0.0	0.0	0.0	10	0.0	0.0	0.0	4	0.2345679012345679	0.2345679012345679	0.2345679012345679	162	0.27472527472527475	0.47770700636942676	0.34883720930232565	157	0.0	0.0	0.0	70
4	9.400959014892578	0.263623753731901	0.4930332261521972	0.9310417992785911	0.4339622641509434	0.5707196029776674	0.0	0.0	0.0	10	0.0	0.0	0.0	4	0.4551971326164875	0.7839506172839507	0.5759637188208617	162	0.5941176470588235	0.643312101910828	0.617737003058104	157	0.024691358024691357	0.02857142857142857	0.026490066225165563	70
5	9.431974411010742	0.19355810433626175	0.6193548387096774	0.9461065138977297	0.5464895635673624	0.7146401985111662	0.0	0.0	0.0	10	0.0	0.0	0.0	4	0.5854700854700855	0.845679012345679	0.691919191919192	162	0.6031746031746031	0.7261146496815286	0.6589595375722542	157	0.3557692307692308	0.5285714285714286	0.4252873563218391	70
6	9.468173503875732	0.1519076092676683	0.7030716723549488	0.9560789306174411	0.6491596638655462	0.7667493796526055	0.0	0.0	0.0	10	0.0	0.0	0.0	4	0.660377358490566	0.8641975308641975	0.7486631016042781	162	0.7093023255813954	0.7770700636942676	0.7416413373860182	157	0.5108695652173914	0.6714285714285714	0.5802469135802468	70
7	9.452598094940186	0.11747951195998625	0.7339449541284404	0.9575641841714407	0.6823027718550106	0.794044665012407	0.0	0.0	0.0	10	0.0	0.0	0.0	4	0.6666666666666666	0.8641975308641975	0.7526881720430108	162	0.7325581395348837	0.802547770700637	0.7659574468085106	157	0.6206896551724138	0.7714285714285715	0.6878980891719746	70
8	9.492538213729858	0.09859962355006825	0.7421965317919075	0.9615955866751539	0.6948051948051948	0.7965260545905707	0.0	0.0	0.0	10	0.0	0.0	0.0	4	0.6831683168316832	0.8518518518518519	0.7582417582417583	162	0.7470588235294118	0.8089171974522293	0.7767584097859327	157	0.6222222222222222	0.8	0.7000000000000001	70
9	9.469862461090088	0.08687851815061136	0.7378190255220419	0.9626564820708678	0.6928104575163399	0.7890818858560794	0.0	0.0	0.0	10	0.0	0.0	0.0	4	0.6731707317073171	0.8518518518518519	0.7520435967302453	162	0.7396449704142012	0.7961783439490446	0.7668711656441718	157	0.6470588235294118	0.7857142857142857	0.7096774193548386	70
10	9.702707290649414	0.08399184962565248	0.7442396313364055	0.9618077657542966	0.6946236559139785	0.8014888337468983	0.0	0.0	0.0	10	0.0	0.0	0.0	4	0.6666666666666666	0.8518518518518519	0.7479674796747967	162	0.7543859649122807	0.821656050955414	0.7865853658536586	157	0.6436781609195402	0.8	0.713375796178344	70
