TRAINING	TRAINING	TRAINING	ALL	ALL	ALL	ALL	date	date	date	date	loc	loc	loc	loc	pers	pers	pers	pers	scope	scope	scope	scope	work	work	work	work
EP	TIME	LOSS	F1	A	P	R	P	R	F1	N	P	R	F1	N	P	R	F1	N	P	R	F1	N	P	R	F1	N
1	12.00346326828003	1.249247289620913	0.0	0.8641804788213628	0.0	0.0	0.0	0.0	0.0	5	0.0	0.0	0.0	3	0.0	0.0	0.0	131	0.0	0.0	0.0	162	0.0	0.0	0.0	116
2	11.046169996261597	0.4730011522769928	0.0	0.8641804788213628	0.0	0.0	0.0	0.0	0.0	5	0.0	0.0	0.0	3	0.0	0.0	0.0	131	0.0	0.0	0.0	162	0.0	0.0	0.0	116
3	11.395823955535889	0.32373566123155445	0.2519413287316652	0.9119091467157765	0.1967654986522911	0.3501199040767386	0.0	0.0	0.0	5	0.0	0.0	0.0	3	0.41818181818181815	0.5267175572519084	0.4662162162162162	131	0.18333333333333332	0.47530864197530864	0.2646048109965636	162	0.0	0.0	0.0	116
4	12.02104115486145	0.2091090472844931	0.45348837209302323	0.9337016574585635	0.3804878048780488	0.5611510791366906	0.0	0.0	0.0	5	0.0	0.0	0.0	3	0.6491228070175439	0.5648854961832062	0.6040816326530613	131	0.2655172413793103	0.47530864197530864	0.3407079646017699	162	0.3933649289099526	0.7155172413793104	0.5076452599388379	116
5	11.863723754882812	0.15597436462457365	0.5888650963597432	0.9519643953345611	0.5319148936170213	0.6594724220623501	0.0	0.0	0.0	5	0.0	0.0	0.0	3	0.52	0.5954198473282443	0.5551601423487544	131	0.5588235294117647	0.7037037037037037	0.6229508196721312	162	0.50920245398773	0.7155172413793104	0.5949820788530467	116
6	11.273260354995728	0.12253031535790516	0.6223698781838317	0.9539594843462247	0.5781893004115226	0.6738609112709832	0.0	0.0	0.0	5	0.0	0.0	0.0	3	0.5821917808219178	0.648854961832061	0.6137184115523465	131	0.6111111111111112	0.6790123456790124	0.6432748538011697	162	0.5375	0.7413793103448276	0.6231884057971016	116
7	11.286346912384033	0.10245621834809963	0.6545454545454545	0.9604051565377533	0.6220302375809935	0.6906474820143885	0.0	0.0	0.0	5	0.0	0.0	0.0	3	0.6592592592592592	0.6793893129770993	0.6691729323308272	131	0.6304347826086957	0.7160493827160493	0.6705202312138728	162	0.5763888888888888	0.7155172413793104	0.6384615384615384	116
8	11.312838315963745	0.09243665692897943	0.685330347144457	0.962707182320442	0.6428571428571429	0.7338129496402878	0.0	0.0	0.0	5	0.0	0.0	0.0	3	0.7112676056338029	0.7709923664122137	0.73992673992674	131	0.6122448979591837	0.7407407407407407	0.6703910614525139	162	0.6159420289855072	0.7327586206896551	0.6692913385826771	116
9	11.289976358413696	0.08008641205154933	0.7027649769585254	0.964548802946593	0.6762749445676275	0.7314148681055156	0.0	0.0	0.0	5	0.0	0.0	0.0	3	0.7241379310344828	0.8015267175572519	0.7608695652173912	131	0.6480446927374302	0.7160493827160493	0.6803519061583577	162	0.6614173228346457	0.7241379310344828	0.6913580246913581	116
10	11.373113632202148	0.0772644800062363	0.6951631046119234	0.963474524248005	0.6546610169491526	0.7410071942446043	0.0	0.0	0.0	5	0.0	0.0	0.0	3	0.696551724137931	0.7709923664122137	0.7318840579710145	131	0.6387434554973822	0.7530864197530864	0.6912181303116148	162	0.6323529411764706	0.7413793103448276	0.6825396825396826	116
