TRAINING	TRAINING	TRAINING	ALL	ALL	ALL	ALL	loc	loc	loc	loc	org	org	org	org	pers	pers	pers	pers	prod	prod	prod	prod	time	time	time	time
EP	TIME	LOSS	F1	A	P	R	P	R	F1	N	P	R	F1	N	P	R	F1	N	P	R	F1	N	P	R	F1	N
1	31.913389921188354	0.6951744109392166	0.12920168067226892	0.9295322531335983	0.18778625954198475	0.09847878302642114	0.75	0.01020408163265306	0.020134228187919462	588	0.0	0.0	0.0	166	0.18083462132921174	0.312	0.2289628180039139	375	0.0	0.0	0.0	50	0.0	0.0	0.0	70
2	32.541754484176636	0.26495962721460004	0.4100169779286927	0.9473555487618466	0.4363143631436314	0.3867093674939952	0.575	0.6649659863945578	0.6167192429022081	588	0.0	0.0	0.0	166	0.2154566744730679	0.24533333333333332	0.22942643391521197	375	0.0	0.0	0.0	50	0.0	0.0	0.0	70
3	32.35615539550781	0.19326440354480462	0.5063736263736264	0.9535310302659737	0.5614035087719298	0.4611689351481185	0.6139860139860139	0.7465986394557823	0.6738296239447429	588	0.0	0.0	0.0	166	0.46757679180887374	0.36533333333333334	0.4101796407185629	375	0.0	0.0	0.0	50	0.0	0.0	0.0	70
4	31.645716905593872	0.12772683163776116	0.5880980163360561	0.9604096606542342	0.5718608169440242	0.6052842273819056	0.6589673913043478	0.8248299319727891	0.7326283987915407	588	0.125	0.04819277108433735	0.06956521739130436	166	0.5307017543859649	0.6453333333333333	0.582430806257521	375	0.0	0.0	0.0	50	0.3181818181818182	0.3	0.30882352941176466	70
5	31.515183925628662	0.08903898265870179	0.6122148638704931	0.9631611128095384	0.5663716814159292	0.6661329063250601	0.6729986431478969	0.8435374149659864	0.748679245283019	588	0.25980392156862747	0.3192771084337349	0.2864864864864865	166	0.5807291666666666	0.5946666666666667	0.5876152832674572	375	0.2463768115942029	0.34	0.28571428571428575	50	0.5733333333333334	0.6142857142857143	0.5931034482758621	70
6	31.747907400131226	0.06354155298322439	0.6591639871382637	0.9666157138489758	0.6618240516545602	0.6565252201761409	0.7792	0.8282312925170068	0.8029678483099754	588	0.30625	0.29518072289156627	0.3006134969325154	166	0.6617647058823529	0.6	0.6293706293706294	375	0.30952380952380953	0.26	0.2826086956521739	50	0.6388888888888888	0.6571428571428571	0.647887323943662	70
7	31.6094810962677	0.045042200397480935	0.6901521216973578	0.9691837358605931	0.6901521216973578	0.6901521216973578	0.7843450479233227	0.8350340136054422	0.8088962108731466	588	0.3308270676691729	0.26506024096385544	0.29431438127090304	166	0.6818181818181818	0.68	0.6809078771695594	375	0.5714285714285714	0.48	0.5217391304347826	50	0.6486486486486487	0.6857142857142857	0.6666666666666667	70
8	31.60083031654358	0.034575500772060716	0.6988702765874563	0.9693977376948946	0.6805766312594841	0.7181745396317054	0.7786377708978328	0.8554421768707483	0.8152350081037276	588	0.3488372093023256	0.3614457831325301	0.35502958579881655	166	0.675531914893617	0.6773333333333333	0.6764314247669773	375	0.6296296296296297	0.68	0.6538461538461539	50	0.6571428571428571	0.6571428571428571	0.6571428571428571	70
9	31.5302472114563	0.027432747568716023	0.7038355081059708	0.9696423112198105	0.6953125	0.7125700560448359	0.7942122186495176	0.8401360544217688	0.8165289256198348	588	0.3614457831325301	0.3614457831325301	0.3614457831325302	166	0.6863270777479893	0.6826666666666666	0.6844919786096257	375	0.66	0.66	0.66	50	0.6811594202898551	0.6714285714285714	0.6762589928057554	70
10	31.540294647216797	0.023882830597679403	0.7148468185388844	0.9701926016508713	0.7016191210485736	0.7285828662930345	0.8105436573311368	0.8367346938775511	0.8234309623430962	588	0.3641304347826087	0.4036144578313253	0.38285714285714284	166	0.6987012987012987	0.7173333333333334	0.7078947368421054	375	0.68	0.68	0.68	50	0.676056338028169	0.6857142857142857	0.6808510638297872	70
